# mass/M_sun, probability density
1.000010000000000066e-01 3.347006151289383613e+00
1.146250231933549912e-01 2.846450570990306961e+00
1.292490463867181916e-01 2.463880497207599607e+00
1.438730695800742865e-01 2.164048770852662784e+00
1.584970927734374868e-01 1.923912894296440745e+00
1.731211159667935817e-01 1.727919742616850884e+00
1.877451391601567821e-01 1.565539234381741807e+00
2.023691623535128770e-01 1.429409933090937113e+00
2.169931855468760773e-01 1.314040720881535673e+00
2.316172087402321722e-01 1.215444416919703174e+00
2.462412319335953725e-01 1.130608793066527618e+00
2.608652551269514674e-01 1.057158124639049790e+00
2.754892783203146678e-01 9.932721483624722403e-01
2.901133015136707627e-01 9.375010699452854812e-01
3.047373247070268576e-01 8.886731096413063025e-01
3.193613479003900579e-01 8.458501052323671443e-01
3.339853710937461528e-01 8.082576801344456552e-01
3.486093942871093532e-01 7.752580515650991932e-01
3.632334174804654481e-01 7.463237794041505113e-01
3.778574406738286484e-01 7.210082248163033336e-01
3.924814638671847433e-01 6.989378187222724526e-01
4.071054870605479437e-01 6.797963374523935398e-01
4.217295102539040386e-01 6.633115816976496992e-01
4.363535334472672389e-01 6.492521600316819574e-01
4.509775566406233338e-01 6.374185193943779915e-01
4.656015798339865341e-01 6.276372395410547700e-01
4.802256030273426290e-01 6.197584627746814956e-01
4.948496262206987240e-01 6.136513061431739802e-01
5.094736494140619243e-01 5.857915307642389546e-01
5.240976726074180192e-01 5.489115165139026864e-01
5.387216958007812195e-01 5.152860639004019916e-01
5.533457189941373144e-01 4.845521141637422757e-01
5.679697421875005148e-01 4.563951275132144825e-01
5.825937653808566097e-01 4.305416253241347579e-01
5.972177885742198100e-01 4.067529686317172266e-01
6.118418117675759049e-01 3.848202048320135127e-01
6.264658349609391053e-01 3.645598304335163631e-01
6.410898581542952002e-01 3.458100460345894800e-01
6.557138813476584005e-01 3.284279032518078179e-01
6.703379045410144954e-01 3.122867867688460808e-01
6.849619277343705903e-01 2.972741477820365352e-01
6.995859509277337906e-01 2.832898258246844825e-01
7.142099741210898856e-01 2.702443331006494365e-01
7.288339973144530859e-01 2.580575128214069869e-01
7.434580205078091808e-01 2.466575674696594722e-01
7.580820437011723811e-01 2.359798687566855013e-01
7.727060668945284760e-01 2.259661985049894739e-01
7.873300900878916764e-01 2.165641318058586784e-01
8.019541132812477713e-01 2.077261499362514641e-01
8.165781364746109716e-01 1.994091977205237620e-01
8.312021596679670665e-01 1.915742526135042201e-01
8.458261828613302669e-01 1.841857696916815168e-01
8.604502060546863618e-01 1.772114190143224688e-01
8.750742292480424567e-01 1.706217341420404598e-01
8.896982524414056570e-01 1.643897536581262753e-01
9.043222756347617519e-01 1.584908405218212191e-01
9.189462988281249523e-01 1.529023905342729583e-01
9.335703220214810472e-01 1.476036486488567501e-01
9.481943452148442475e-01 1.425755988001667918e-01
9.628183684082003424e-01 1.378007129039755807e-01
9.774423916015635427e-01 1.332628451029694294e-01
9.920664147949196376e-01 1.289471283312789152e-01
1.006690437988282838e+00 1.248397949093974363e-01
1.021314461181638933e+00 1.209281289308985485e-01
1.035938484375002133e+00 1.172003739645853110e-01
1.050562507568358228e+00 1.136456216904113692e-01
1.065186530761714323e+00 1.102537754823450789e-01
1.079810553955077523e+00 1.070154450088647569e-01
1.094434577148433618e+00 1.039218881333751482e-01
1.109058600341796819e+00 1.009649952600531475e-01
1.123682623535152914e+00 9.813719508518033152e-02
1.138306646728516114e+00 9.543143076173025985e-02
1.152930669921872209e+00 9.284114291183370726e-02
1.167554693115235409e+00 9.036018185366581634e-02
1.182178716308591504e+00 8.798279908667679117e-02
1.196802739501954704e+00 8.570362797157181356e-02
1.211426762695310799e+00 8.351575950790303404e-02
1.226050785888674000e+00 8.141219841698654758e-02
1.240674809082030094e+00 7.938824161072595420e-02
1.255298832275386189e+00 7.743996062540176029e-02
1.269922855468749390e+00 7.556365183685014031e-02
1.284546878662105485e+00 7.375584665894975578e-02
1.299170901855468685e+00 7.201328345930366193e-02
1.313794925048824780e+00 7.033287676794730547e-02
1.328418948242187980e+00 6.871172588612824150e-02
1.343042971435544075e+00 6.714710553152387906e-02
1.357666994628907275e+00 6.563643014718720248e-02
1.372291017822263370e+00 6.417726026831585551e-02
1.386915041015626571e+00 6.276730397111932036e-02
1.401539064208982666e+00 6.140438115196496238e-02
1.416163087402345866e+00 6.008642826194624670e-02
1.430787110595701961e+00 5.881150465227923119e-02
1.445411133789058056e+00 5.757776609104760940e-02
1.460035156982421256e+00 5.638346225390120786e-02
1.474659180175777351e+00 5.522694010384002206e-02
1.489283203369140551e+00 5.410662886353831413e-02
1.503907226562496646e+00 5.302103313288886871e-02
1.518531249755859847e+00 5.196873738397563697e-02
1.533155272949215941e+00 5.094839908892657976e-02
1.547779296142579142e+00 4.995873831565500467e-02
1.562403319335935237e+00 4.899853926702706780e-02
1.577027342529298437e+00 4.806664800940020632e-02
1.591651365722654532e+00 4.716196168143027556e-02
1.606275388916017732e+00 4.628343026540689131e-02
1.620899412109373827e+00 4.543005737564569796e-02
1.635523435302729922e+00 4.460089015241454347e-02
1.650147458496093122e+00 4.379501942327028441e-02
1.664771481689449217e+00 4.301158061520829468e-02
1.679395504882812418e+00 4.224974699191864913e-02
1.694019528076168513e+00 4.150872823513872267e-02
1.708643551269531713e+00 4.078777107827548376e-02
1.723267574462887808e+00 4.008615558500273207e-02
1.737891597656251008e+00 3.940319253835829899e-02
1.752515620849607103e+00 3.873822352984015310e-02
1.767139644042970303e+00 3.809061916378496393e-02
1.781763667236326398e+00 3.745977621028043214e-02
