# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
1.704444177404482175e-02, -5.432237055305115872e-03, -4.182079942690926366e-02, 5.942113013183226400e+01, -4.943154556979358460e+01, 3.063843551017193079e+01
2.970642040365509615e+02, -1.301793999520174054e+02, 2.116239286545878429e+02, -2.794830615020174602e-01, -2.945875488856956048e-01, 7.610042042787507066e-01
-7.714893080203114373e+00, 7.249073105584057153e+00, 5.557673848387437721e-01, 6.317679027628587463e+00, 1.508573937146289401e+00, 4.327282896742961960e+00
3.179515246034518583e+01, -2.244281212740381892e-01, -8.789859442271817258e+00, 2.764313820789270348e-01, -4.578996427324821816e-01, -1.761578520356249289e+00
1.815524932301495653e+02, 1.393161013699625812e+02, 1.069269314995963498e+02, -7.153300720914351762e-01, 3.036503591883697294e-03, -9.058044757427417826e-02
-2.042321356522299070e+00, -2.434177179618615960e-01, 1.070321302992123691e+00, 4.785831703921040514e+00, 2.204807430130548696e+00, 1.080791868520417687e+01
-2.671733212984154306e+02, 3.654559510805219134e+02, -5.817877234344119870e+02, 8.346830847280881649e-01, 9.424327209316357701e-02, -4.521485318705678047e-01
8.679014628958626076e+00, -5.374280596117788633e+00, 1.520995239859350256e+00, 1.135732188827773381e+00, 3.020284684823286270e+00, 3.050840370069594520e+00
4.726660074933886790e+03, 4.375872221407371399e+03, 4.958821920652003428e+03, -4.748298779818989346e-02, -1.107175909278805132e-01, -1.452602294489083457e-01
-3.895663009851830907e+02, 1.191480022690139549e+03, 1.009515540646227691e+03, 1.584882578881227355e-01, 2.778956164801282269e-01, 5.849226528083741744e-02
1.365684233780472994e+02, -8.029854000422576519e+02, -5.804010247506616906e+02, -2.082543289488672511e-01, -2.312307946918240251e-02, 4.540197304116671412e-02
-3.525201556737301871e+02, -4.762692295372788465e+01, 7.748169866243917170e+01, 9.492437940385128545e-03, -6.975296699854082183e-01, 3.818236183690991714e-01
6.097670093353985976e+01, -4.347529501475982383e-01, 1.961796899444870235e+01, -7.526145203441179932e-02, 1.134788566016922795e+00, 8.229974761763243496e-01
9.312262401636312248e+00, 1.712585528139330293e+01, -8.974959821650438485e+00, 1.301405503210244063e+00, 2.971983333478696476e+00, -8.359103135492338410e-01
1.856107866576724064e+03, 1.976105782149080369e+03, 1.766084802164779603e+03, -1.947465688243647797e-02, -1.730487979798555065e-01, 4.238717828680563238e-02
7.081165545998912014e-01, 3.039240598353782352e-01, -7.556988815340593968e-01, -1.318776751136566183e+01, 5.378200596831987923e+00, -9.726664668646996859e+00
3.039992478800576658e-01, 1.195697803975926954e+00, -2.864591754220475739e-01, 1.352795461638196350e+01, -1.294515748720451676e+01, 1.038671484914559606e+01
-1.388334251776816297e-01, 1.857897381520919322e-01, -1.364805545969344225e-01, -1.569757847727436761e+01, -1.377953545757656073e+01, -2.795382434962636253e+01
-5.742320576997163784e+01, -5.331404986456046657e+00, -2.427253629633162291e+01, -6.429498396227173451e-01, 8.228781986138685722e-01, 1.448214535258966207e-01
1.771827253940190250e+00, -1.021565623222299379e+00, 3.953997823936661882e-01, 7.096390290794778899e+00, -8.859279111761237502e+00, -5.864219170967193584e+00
-3.547171574814596511e+02, 2.548397028658996817e+02, 7.882212031730119861e+01, -4.686504480015374896e-01, 4.353353864108984173e-01, -2.085449166253476039e-01
