# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
2.159459502202196290e+01, 1.431931357679813743e+01, 1.003373381369775608e+00, -2.421884532570369175e-01, -7.636656604799094139e-02, 2.589578625880787355e-01
-1.290096031791162536e-02, -8.658901631464176185e-02, 5.937197908255498202e-02, -7.095207899204459601e+00, 4.434644903387445680e+01, 4.286815886645338480e+01
-1.634444954754025758e+01, -1.237584125906414556e+02, 4.453559396634922507e+00, 5.934972783739975166e-02, 1.423138798397206167e-02, -1.287147369994901154e-02
3.199781307663090817e-03, 1.845392646990912794e-02, -2.289778375867480495e-02, 6.869246286098012888e+01, -2.004856237986650314e+01, -6.558444211381156741e+00
1.583455416288872186e+02, 1.681342421906768436e+01, -1.864595148755544471e+02, 1.263589786201503584e-01, -1.557072501982863233e-01, -1.758656944173876968e-01
-2.810650955336832624e+01, -8.948164443288246162e+01, -1.739505793640253728e+01, -1.685315588565984291e-01, 2.972343783790635796e-01, -6.320563877315968915e-01
3.353690522460940127e+00, 4.995930986765078075e-01, -9.427410602645593940e-01, 4.174023638264651725e-01, 8.249327291383705685e-01, -1.585952816918539954e+00
1.005604390557696542e-01, 2.730728825675441396e-01, 8.335329100757077336e-01, 5.231708721618622882e+00, 4.301671394858961328e+00, -1.022080571315462194e+01
5.925255378974292775e+00, -3.965202855279164282e+02, -3.681779624602820036e+02, -2.025062954990183850e-02, 7.100837044764282679e-02, 7.332918299280145880e-02
-2.141858557014975073e-02, -4.085115393494891944e-01, 9.705688864126738036e-01, 9.988488618004268682e-01, -8.250168358159724491e+00, -8.770096236454273608e+00
-3.112010138480899801e+00, 6.151634265709910565e+00, 1.088440496896827092e+01, -1.305337080760651469e+00, 8.499965867218307602e-01, -9.768376247017543923e-01
-1.429898894816701960e+00, -8.481418760815255808e-01, 5.175996447888685736e+00, -3.709594978866224135e+00, -2.657412780942345787e+00, 7.282355894130202678e+00
2.745355807083995714e+01, 2.524686395611174987e+02, 5.393110713136855594e+01, -1.791345726298562147e-01, -2.585150616409570001e-01, 3.011537508725086743e-01
1.787621494869490874e-02, 1.606867882324560307e-02, 3.225394862417046548e-03, -2.249405221194353821e+00, 7.455107577193767376e+00, -2.467396907054785871e+01
7.020307487795507395e-02, 6.738089284175506101e-03, -6.836032065745516195e-02, -1.666972429595793725e+00, 9.616497826630154844e-01, 6.955417360255562009e+00
7.015364147317495913e+00, 4.172099010373389092e+02, -2.914285373662953589e+02, -1.048085455342771255e-01, -4.581592040435493729e-01, -3.291751257207511938e-01
-4.589131731260755132e+00, -4.922634161210848625e+00, -4.770849475112619031e-01, 3.717807506577806453e+00, 1.132362049085504641e+00, -1.603110622927256035e+00
4.830905924032351777e+02, -3.216057412733362497e+01, -5.221229404966593535e+01, -3.140598943093241835e-01, 2.733217758610579362e-01, 4.139209276205227939e-01
1.976046850183860171e-02, 2.412030093363914662e-01, 1.178368775292271575e+00, -9.956156571068547345e-01, -1.981924677004624513e+01, 1.226285128904751964e+01
1.641669155661369643e+02, -1.127453517492902506e+02, 2.012222599476654352e+02, -3.853873454193061932e-01, -2.796297721154468105e-02, 1.985819279839187712e-01
-7.240496587791499294e+00, 1.627152697611209842e+00, -1.241273735639141007e+00, 4.659318823076820770e+00, -2.420467102436274498e+00, 8.583521859395458753e-01
-1.294304825561646555e-01, -1.587746867211882809e-02, -3.448363893747139614e-02, -1.962505562159436323e+01, -8.118953628963629043e+00, -7.795057872318815839e+01
4.508322517616036151e+01, 1.860252734614617509e+01, 1.589533672134279429e+00, -1.114800596503807695e+00, -2.221502805458767327e+00, -1.072644416493931718e+00
-6.545022267592282894e+00, 5.019051754193296411e+00, 7.673374845402452848e+00, 1.547906481194920025e-01, 2.856867688311177655e-01, -2.122450424387354040e-01
-1.164780296888803690e+01, -2.170696557695227824e+01, 4.724200547796596084e+01, 5.295698403446419400e-01, -1.409052399818561396e-01, -6.056725971643576178e-01
-7.725737367056984795e+02, -1.360913868315603168e+03, -1.951916395931231136e+02, -1.411968712695910178e-01, -7.650486117183703805e-02, -4.646884261704759683e-02
3.780506883203336721e-01, 4.580438784018662446e+00, -5.519375797955353491e+00, -1.463072254054207155e+00, -1.057175166039972941e-01, 2.543524213908209819e-01
6.795572230112446377e+00, 6.945387660084682580e+01, 4.231462749346940200e+01, 4.356112547514990468e-02, 1.351525619910397824e-01, -2.778717531201019275e-01
3.076218729961336180e+02, -8.750137332512287003e+02, 4.367722822478762623e+02, 1.384192860928034827e-02, 2.549021334478385747e-01, -9.274935037481008004e-02
-4.572988929150902493e+00, -3.177262175013837577e+02, -3.920868492825559883e+02, 1.788643718304253616e-01, 4.125780942136823143e-02, -8.948909009751881971e-02
-8.790019403574003132e-01, 5.644608583787386280e+00, -2.835463282209153668e+00, -3.033687228796493329e+00, -1.001496246772960896e+00, 1.544848743878546315e+00
-2.435179750185118763e+01, -1.070507610790553121e+00, 1.629124324652160638e+01, 5.911923977864504964e-01, -1.995193713942339242e+00, 3.805307606784924523e-01
5.902578046541643886e+01, -1.204457174088482390e+02, 1.903010805553589933e+02, 4.469681103359440799e-02, -4.217632531358784798e-01, -1.668338391719158820e-01
5.726604765788981810e-01, -6.327234168761852739e-01, 4.523304685663408486e-01, -2.790493316800793711e+00, 1.157716117268935863e+00, 5.567065101691464513e+00
-1.356012149832981802e-02, -9.071440801172102678e-03, 3.833661029403203496e-02, -4.689050305993661683e-01, 6.233226338514482023e+01, 1.458358012947055826e+01
-1.248351526351799023e+00, -2.507246442153721055e+00, 1.559146103914842874e+00, 1.081248906195338044e+01, 3.994585685431814248e+00, 4.493481785127972472e+00
7.954872670815758828e-03, -5.878865343123970688e-03, -4.478732621417143463e-03, 2.716915132398237986e+01, 4.189100215112183889e+01, -6.730569544251629566e+00
-1.493541417380224612e+00, 5.763800865327256417e+01, 2.057054552188327534e+01, 8.614780274879657584e-01, -1.193330167060444591e+00, -1.140061948845283585e-01
-1.287990011978230598e-01, -1.089587408803228907e+00, -7.275008453190439095e-01, 1.858674490320744610e+00, -7.406012732618967309e-01, -3.341202144785069827e-01
-1.413912268787473447e+00, -1.058898321754836669e+00, 3.071640629474157169e+00, -2.392168145944800983e+00, 2.736016936595965898e+00, 3.360126364897003115e-01
3.329444817369797693e+00, -1.947989805908257877e+00, 6.431871120165794764e+00, 1.719820068866049489e-01, -1.956033018287985259e+00, 1.832686174849786354e-01
-5.862931228741241618e+00, 2.783741300655436304e-02, -4.946706658705839921e+00, 4.926983589824189269e-01, -2.759292575447386819e-01, -4.236202881026910894e-01
3.358893666314961141e-02, -5.473300667480081316e-02, -9.207643946933141005e-03, 2.161287754185804211e+00, 1.505372030848447551e+01, 4.821660061167792577e+01
2.346470994934855281e-01, -6.012129932568501811e-01, 8.851576599109486909e-02, -5.705207023119641008e+00, -2.262872940262888877e-01, 2.510029439744128510e+00
-2.228230480732459551e+00, -5.055139411613480682e+00, 7.464012557114594770e+00, -4.141117068590241423e+00, -1.314248090160301974e+00, 3.291646565979441386e-01
3.337406990412020158e-02, 1.838369781204926209e-02, -2.493511682648785494e-03, 7.998494473889849132e+00, -2.459201361106767791e+01, -9.943195563849414498e+00
-2.304248516209277675e-01, 1.239442598010446900e-01, 4.679607580708815551e-01, 7.473201421518235854e+00, 1.176698542253485869e+01, -1.288055015566961226e-01
-3.868183136404856892e-01, -3.071782464492799125e+00, -1.662228377588006722e+01, -2.375318711756455148e+00, 2.945353014069845621e+00, 6.516305230656183056e-01
-5.655259748393647729e-02, 3.232851964997739969e-01, 5.198227693833243901e-01, -2.218374513733434306e+00, 4.030763941127718297e+00, -2.564441526176027608e+00
4.040087005641290752e+00, 1.647780647729060775e+02, -1.109287953824017023e+02, -1.816496677302772700e-01, -1.242567195865796614e-01, -4.993887759902576606e-01
3.288329802747063518e-02, 3.505709885311811269e-02, -6.318769459176790115e-02, -1.305129832159376946e+01, 1.528003588188047246e+01, -2.305178587540189028e+01
1.358058567008786632e-01, -4.747731513960903871e-01, 1.759024339602228482e+00, 8.559349709353384350e-01, 1.696389283086118027e+00, -9.072146271124749417e-02
-9.196909015921038433e-02, 1.583349257089810003e+01, 1.019077319657850751e+02, -1.760155222398566421e-01, 1.162275193965903064e+00, -6.679892967897008149e-02
2.723819449874247817e-02, 5.028713995393487880e-03, -4.973835989853123141e-02, -5.321482592223811281e+01, -2.453855568143952581e+01, -3.162293812852983521e+01
2.320734188633690209e+01, 4.334235953837187481e+02, 6.600727055214184702e+02, 6.703656055977520734e-02, 2.067451080052377654e-01, -1.152155155177981560e-01
3.798365337932987224e-02, 1.008925917390509214e-01, 1.173171200114346731e-02, 3.211954282922069837e+01, -2.492113145751291015e+01, 2.436949502731388506e+01
-7.933896085548424182e+00, 7.083237430028649584e+00, 1.014594093827306587e+01, -9.790090907263652997e-02, 5.908253467767956776e-03, -3.474132237029060599e-01
-9.429146859326975516e+01, 1.205643098005531400e+01, -9.449409714743763899e+00, -3.485293155361758322e-01, -1.323450627247282130e+00, 4.801514551082687599e-02
1.298029627769209426e+01, -1.445938957296157135e+01, 1.885587370104398985e+01, 6.153037267090274431e-01, 8.847779110116410495e-01, 2.030623252285488789e+00
3.099413032295548120e+01, 4.491335763631265365e+01, -1.676582965278553061e+01, -8.333491565895152775e-02, 8.781019587938030391e-01, -4.002786899769044671e-01
1.726902135444797537e+01, -2.143503477867552220e+01, -8.271330750830454548e+00, -1.371060368815809338e-01, 4.973434616239885697e-01, -3.317418435744347582e-01
-2.494557957766492182e-02, 5.702634465300984203e-03, 2.268166846427644920e-02, 1.279294945413001905e+01, 7.713965950816017880e+01, -5.324641020213601195e+00
1.897105070936480731e+00, -2.488091732822383939e-01, 1.752292442877800394e+00, 7.946163854146614192e+00, 1.372988084302763978e+00, -5.010242959624746639e+00
-3.880961009870889988e+00, 1.031818205569270575e+01, -8.505447438329552412e+00, -2.502125460104384080e-01, -7.702265365936256103e-01, -8.622351352611851150e-01
-2.359144844298449755e+02, -7.105419520230836383e+01, 1.621973531735467020e+02, 2.222648643761195308e-01, 2.521000932965726249e-01, -1.767579161985164959e-01
-2.944050834786258974e+01, 3.088027477679032984e+01, -3.448283053432245282e+01, 1.079659964984209575e+00, 6.750673962560042041e-01, -7.669355880126811353e-01
5.237825239181823633e+01, 2.555766763794314045e+01, -2.104725283682953432e+02, 5.823904348579228563e-01, -1.151404635613649668e-01, 2.315587215921423581e-01
-1.535166803060677232e+01, -8.602121000818533147e+00, -1.904297475923766569e+01, 2.185544083008441330e-01, -4.253115879041425851e-01, 3.918856090506999679e-01
-1.457782977396034241e+00, -1.463257491624246498e+01, 1.347283213854496431e+01, -3.144026050374085557e+00, -7.367342327404637903e-01, -1.240478005931773708e+00
-1.362728323528067165e+02, 3.901078669911402841e+01, -7.650796111329502480e+01, -2.335406814572060785e-01, -1.058500879042374165e-01, -8.006015590656943848e-02
5.053714671814409920e-01, 1.661714058598267929e+00, -1.018649330722850355e+00, -3.016550376370368824e-01, 2.801964830879757340e-01, -1.892549697960691946e+00
-3.307904158035015030e+02, -1.393931821077939048e+02, 1.684666796528234443e+02, -4.443215721341592372e-02, -2.185104944987592002e-01, -2.357179671367598262e-01
-1.695217161421686214e+01, 1.308222930997813371e+01, 2.675681222640473678e+01, 1.829854276591826867e-01, -1.911988995450592255e-01, 2.484894199508508594e-01
2.721734349410413856e+01, 2.276798540988329123e+01, 1.229274221767532183e+01, 1.302391268257531820e+00, -4.977906369002378373e-01, 1.493287101884709811e+00
-2.008428128380929323e+00, 5.485947806633814094e-01, -7.068484080168240258e-01, -1.390759340082746043e+00, -6.802659134724040157e+00, -2.420171778816896158e+00
-4.113733203007838313e+01, 4.152432435498621999e+01, -1.451925679224457042e+02, 1.938392274219228051e-01, 6.212663044830586678e-02, -2.036945737014561261e-02
-1.138779129589354966e+02, -1.431345609482954444e+02, -1.493849588027899529e+02, 2.469359463197516591e-01, -6.317662200046142429e-02, 4.690858915553203223e-02
-8.393718406410850819e-02, 3.052819672897624792e-01, 5.542217807948199848e-01, 8.892212253778690734e-01, -1.527071037865760095e-01, -3.053749351926057898e+00
5.546565067474325872e+01, 1.395963373655864359e+01, -9.160369488542954741e+00, -1.784406865275620438e-02, 1.513152645639506862e-02, -2.887098151920678979e-01
-2.020158944360858015e+02, -3.052076506587282552e+02, 9.054070936742839137e+01, -1.324498424298553925e-02, -7.006649561285428762e-02, 3.097730801502305079e-02
6.954808214015870682e+00, 8.197116229396671727e+00, -6.414846374066033086e+00, 1.270993647584532926e+00, -3.100155760443240038e-01, -3.302677675455500950e-01
7.413467972243719259e+02, 5.018255880593774805e+02, -7.824122827705294867e+02, -1.371963809491827946e-01, 1.210563862299523889e-02, 7.584475797622598769e-02
-4.721948684601314028e+01, 2.933068090480227497e+01, 8.054249062837651962e+00, -1.176878774193471089e-01, -2.003125377122223216e-01, 6.610930060776523676e-02
-4.604594420457364663e+02, 1.278855866361825065e+03, 1.429369587482268116e+03, 9.579325920768187036e-03, 1.836027658794605055e-01, -2.684287978615295667e-01
-1.996944522762402698e+02, 2.579480666181423487e+01, -3.508378682676344340e+01, 2.210911769793072121e-02, 9.363845380572002886e-02, -1.383045343797294213e-01
8.899462005332849923e-01, -7.175253237465902600e+01, -1.677272076014527329e+02, 1.103017539755239973e-01, -7.332871999205428648e-02, -1.066262020309208941e-01
2.658122107298243383e-03, -1.081482103799876436e-02, -8.976396139898147955e-03, -1.289766522417940919e+01, 3.960685904755712983e+01, -5.153790611860675597e+01
1.071188968892648474e-01, -5.612233323872487523e-01, -1.438494607339839970e-01, -2.413052530548258190e+00, 5.608963336437007285e+00, -1.023584746348355168e+01
-8.811698964774917694e-03, -2.385004684387774781e-03, -4.328138441313708271e-03, -4.333013955342233103e-01, 5.867740411237815579e+01, -3.145180406381668803e+01
-1.099254387274991132e+02, -5.088571339497916597e+02, -2.107576057128030556e+01, 1.471506620595745482e-02, 4.344864500724367889e-02, 1.424716169969390649e-02
