# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-4.144019617151480617e+01, 1.179844889320220025e+00, -1.851959576776099681e+01, -6.852466579890964526e-01, -6.470150989510236803e-03, 3.132511256228302510e-01
-1.592862495820716795e+01, 4.086252084573569476e+01, 3.973203788012920512e+01, -2.024818167122507603e-02, -2.654000613499123834e-02, -5.448472564469228341e-02
-3.233346271613755363e+01, 1.680351948858693945e+01, 5.018025337749013204e+01, -3.760744756014938184e-01, -8.964828013927660100e-02, -2.325058153271785111e-01
2.765851551074411940e+00, -4.341682247870249256e+00, 7.479698999092584399e-01, -7.564542151883740795e-01, -3.533077494558287679e-01, -3.942793052939244092e-01
-2.315563506361392136e-04, -8.144520044295201766e-03, -1.608845244755520995e-04, 3.708598305860997613e+01, -1.902935147906499758e+00, 4.295626680590483204e+01
2.238591893114139086e+00, -2.529399759280673265e+01, 1.999137357982084140e+01, 2.314220572946846244e-01, 1.140985441910674858e+00, -1.518765478579696460e+00
-1.276786551371687466e+02, 5.017372104911055430e+01, -7.334021905144484776e+01, -9.004909930216302427e-02, 2.851634434234937010e-02, 5.652098329447271391e-02
-8.183811402395480883e+00, -4.493687684481847100e+01, -1.088612524122808267e+01, 2.817518392550090733e-01, 8.215117963490467176e-03, 1.161574056164273172e-01
1.365908385734016051e+01, 5.625926978677985524e+00, -5.399033098769380246e+01, 8.241586211344629209e-01, -2.015055763980929671e-01, -8.427019522810589094e-03
-2.440143644901320574e-01, 2.288368234279865854e-01, -2.822972112034171643e-01, 6.597930817310774465e+00, 2.337664945667857985e+00, -3.724527710896844424e-01
2.114444907784503812e+04, -4.557292098657828319e+04, -9.436504407862016524e+04, -1.309526682990311481e-04, 5.564294337640560270e-04, -1.553702269889894148e-02
1.502195730273679430e+01, 3.476453484187585818e+00, 5.087988321015570747e+00, -2.730336097319681632e-01, 1.950939244161991604e-01, 9.227891685472068284e-01
-3.106432175598059647e-02, -2.631868397985999506e-03, 4.563960417781680497e-03, -2.302800799460453796e+00, 2.414601560714042972e+00, -3.366131393088305401e+01
-5.295286898010670207e+00, -3.480816889082642263e+01, 1.294212201484227620e+01, 3.363174778470679610e-02, -3.412184175765605593e-02, -1.208578729775010643e-02
-2.103954139195412035e-02, -2.583738573588208534e-02, 4.591294610105641633e-02, 1.099950084731186806e+01, -2.190929049426109998e+00, 8.996468125706532648e-01
-1.837870815312419304e-01, 8.968060842705911917e-02, 1.156280390328785906e-01, 2.607271245947922478e-01, 3.103852438022895122e+00, -5.968847262617309468e-01
2.406326879172881184e-01, 8.432533430692108922e+00, 6.044453042629946538e+00, -1.228488981160539284e+00, -1.333794121144052491e+00, -8.250147433335481839e-01
-4.215348094227830700e+01, -4.636428585544811654e+01, 9.345174036662033501e+00, -5.989232030240825289e-01, -8.584253542241347956e-01, -9.979494432002378179e-01
-1.911168544018801896e+01, -1.398041150799009280e+01, 6.609558852383331740e+00, 4.871586819840821314e-01, 6.332018466616754493e-01, 4.369648958618176926e-01
-3.517592263359516096e+02, 2.819075400781061944e+02, 3.365261712135783227e+02, -1.034040658821787535e-02, -7.820306396959772477e-02, 7.264969732857520790e-02
-6.454587324558225259e-01, -4.773621409363950074e-01, 3.685287059356328609e-01, 1.757373020081874460e+00, 5.732160930623937389e+00, 7.262808913358610452e-01
8.322821002658007056e-04, -3.276803994881650160e-03, 3.442180559207994039e-02, -1.501798639000089475e+00, 8.163576376405025314e+00, 4.038162682892695976e+00
-2.627797961760541291e-03, -8.829642862456936470e-02, -2.394989628806664939e-01, -7.205099188224907136e-01, 2.997077072029201428e-02, 1.119125050401219790e+00
-1.161049091045596100e+02, -8.727012334521238301e+01, 6.407242422837425977e+01, -4.053848235316039883e-01, -2.397033840840398777e-01, 2.708365031116720112e-01
-7.897823724570114834e+00, 1.073661515752640483e+01, -2.899215378592117531e+00, 1.921326134623226656e+00, 5.888073040343448916e-01, -8.942027153683644869e-01
-7.271044639003994003e-01, -2.626532557224718345e-01, -4.064490969798226772e-01, 5.663633426869493448e+00, -3.816533322099270320e-01, -3.131172960676442241e+00
1.518071670167806246e+02, -5.706336537914204143e+01, 1.024013506037446462e+02, -1.829367869466489716e-01, 3.465715974587493808e-01, -9.969678671260766289e-02
-1.878009274068788155e-04, -1.005498323214573230e-03, -1.029187557897570356e-03, 8.562365511244969696e+01, 8.342046181482078282e+01, -9.712450908255232207e+01
5.807198836651709106e-01, -1.838576864762217600e+00, -3.489363069040796184e+00, 6.046038872468051384e-01, -1.159875216676342635e+00, 2.775694625997146003e-01
-2.078591826675151369e-02, -7.964415829433695027e-02, -1.072420110416880470e-02, -5.125581387666140465e+00, 1.899311344641495314e+00, 1.043552536785176521e+01
1.254401934459366004e+02, 6.570298900550777432e+01, -5.699245322040495410e+01, -4.537720679032927751e-02, -7.391892809910882711e-02, 1.755316272542918332e-01
-6.823625050880798426e+01, -4.552420103297941978e+01, -2.353932355307368596e+01, 1.638188526406537115e-01, -6.491725938202991264e-02, 2.880043795259726314e-01
-1.211629020194920336e+01, 5.608870894467948176e+00, 9.820120160333162262e-01, -1.482675568149801837e+00, -8.699177035506318045e-01, -2.974013650721199498e-01
8.519338667662540843e+01, 9.739221718835713659e+01, -5.159367924514194570e+00, -9.257422936115180523e-01, -7.498100088813565434e-02, -1.714956759115825458e-01
-9.276976772600707966e-01, 8.119253534304166076e-01, -3.115116134580038776e-01, -1.833459278035090900e+00, -3.256626451795169519e+00, -4.257705052835671911e-01
1.796519988914884458e-01, 5.455703853293832895e-01, 1.495792627303721596e-02, 1.042243538979079620e+00, 4.012911224239686381e-01, -8.365295744333315353e-01
-1.242175929437430248e+01, -1.671158166140680024e+01, -4.546514547116657923e+00, -5.672793080166500523e-01, 1.845833573603532229e-01, 5.349482417680035962e-01
5.302643721386799402e-01, 1.613118554258144710e-01, -2.237392009576215091e-01, -6.812532133547522406e+00, -4.454463698658624793e+00, -4.484027157919957318e+00
1.288552678334782058e+03, -1.436453144312261259e+02, 9.004039968952107529e+02, 1.084339952144937891e-01, 5.520828330495668873e-02, -2.796611037504157654e-02
-6.165404406118965198e+03, 2.419983145391644939e+03, -1.308491240613718709e+01, -4.049821598420889901e-02, -5.793897398635425994e-03, 3.606548202690106064e-02
-2.036467590502548906e-03, 9.691404313098852218e-04, 4.768304231919777989e-04, -3.994239753396242776e+01, -7.013787927791676680e+01, -2.803500540262357532e+01
-1.528671295616005388e+01, 3.728962994202519088e+00, -6.745514150670657294e+00, 1.595945787903203072e+00, -1.722055262169647438e+00, 9.033698011881622358e-01
-3.785031217275879101e+00, 4.993727252347511580e+00, -1.046414560963504770e-01, -1.416579851979987925e+00, 1.401581879420411125e+00, -2.728074487819104110e+00
2.756049802286034047e-03, -2.938934025260965012e-03, 1.412705205253497135e-03, 1.147517599507956065e+00, 5.692659894722291725e-01, -5.176948784858365071e-01
-8.163204559977516794e+01, -1.726495152933043542e+01, 2.178494674546341159e+01, -2.673180504480632824e-01, 2.499858801713558676e-01, -3.016494827103622378e-01
